canonicalId,name,country,mainlandChina,rankingSources,qsRank,theRank,arwuRank,usnewsRank,goalCategory,programCaptured,programCandidates
u_colorado_school_of_mines,Colorado School of Mines,United States,False,the,,401,,,official-blocked,0,0
u_columbia_university,Columbia University,United States,False,qs|the|arwu|usnews,43,20,8,10,official-blocked,0,0
u_george_washington_university,George Washington University,United States,False,qs|the|arwu|usnews,381,201,301,259,official-blocked,0,0
u_icahn_school_of_medicine_at_mount_sinai,Icahn School of Medicine at Mount Sinai,United States,False,arwu|usnews,,,101,46,official-blocked,0,0
u_johns_hopkins_university,Johns Hopkins University,United States,False,qs|the|arwu|usnews,20,16,19,17,official-blocked,0,0
u_michigan_state_university,Michigan State University,United States,False,qs|the|arwu|usnews,182,105,151,127,official-blocked,0,0
u_rice_university,Rice University,United States,False,qs|the|arwu|usnews,122,103,101,201,official-blocked,0,0
u_saint_louis_university,Saint Louis University,United States,False,the,,401,,,official-blocked,0,0
u_the_university_of_texas_health_science_center_at_houston,The University of Texas Health Science Center at Houston,United States,False,arwu|usnews,,,201,324,official-blocked,0,0
u_university_of_california_merced,"University of California, Merced",United States,False,the,,401,,,official-blocked,0,0
u_university_of_california_san_francisco,"University of California, San Francisco",United States,False,arwu|usnews,,,21,22,official-blocked,0,0
u_university_of_california_santa_cruz,"University of California, Santa Cruz",United States,False,qs|the|arwu|usnews,462,181,151,141,official-blocked,0,0
u_university_of_chicago,University of Chicago,United States,False,qs|the|arwu|usnews,24,15,10,25,official-blocked,0,0
u_university_of_connecticut,University of Connecticut,United States,False,qs|the|arwu|usnews,463,351,201,312,official-blocked,0,0
u_university_of_hawaii_at_manoa,University of Hawaii at Manoa,United States,False,the|arwu|usnews,,251,301,482,official-blocked,0,0
u_university_of_illinois_chicago,University of Illinois Chicago,United States,False,qs|the|usnews,371,201,,252,official-blocked,0,0
u_university_of_illinois_at_chicago,University of Illinois at Chicago,United States,False,arwu,,,,,official-blocked,0,0
u_university_of_massachusetts_amherst,University of Massachusetts Amherst,United States,False,qs|arwu|usnews,260,,201,160,official-blocked,0,0
u_university_of_massachusetts_chan_medical_school,University of Massachusetts Chan Medical School,United States,False,arwu,,,151,,official-blocked,0,0
u_university_of_michigan_ann_arbor,University of Michigan-Ann Arbor,United States,False,qs|the|arwu|usnews,51,23,33,21,official-blocked,0,0
u_university_of_minnesota,University of Minnesota,United States,False,the,,88,,,official-blocked,0,0
u_university_of_minnesota_twin_cities,"University of Minnesota, Twin Cities",United States,False,arwu|usnews,,,51,76,official-blocked,0,0
u_university_of_new_mexico,University of New Mexico,United States,False,usnews,,,,471,official-blocked,0,0
u_university_of_utah,University of Utah,United States,False,the|arwu|usnews,,201,151,170,official-blocked,0,0
u_university_of_virginia,University of Virginia,United States,False,qs|the|arwu|usnews,268,166,201,135,official-blocked,0,0
u_university_of_washington,University of Washington,United States,False,qs|the|arwu|usnews,93,25,17,12,official-blocked,0,0
u_wake_forest_university,Wake Forest University,United States,False,the,,,,,official-blocked,0,0
